现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-9.06954e-005,0.00014438,-3.07917,0,0,-20.6356,-77.5866,-3.52317,0,0,-13.0247,-28.2174,-3.55,0,0,-50.3755,-167.322,-3.55,0,0
-6.13812e-005,9.77139e-005,-3.08223,0,0,-20.9966,-78.1736,-3.55981,0,0,-13.3845,-28.5326,-3.6,0,0,-51.4342,-169.637,-3.6,0,0
-4.15419e-005,6.61312e-005,-3.12752,0,0,-21.3739,-78.8015,-3.64563,0,0,-13.7573,-28.8777,-3.7,0,0,-52.5105,-172.018,-3.7,0,0
-2.81149e-005,4.47566e-005,-3.12866,0,0,-21.7421,-80.8403,-3.68138,0,0,-14.1313,-29.649,-3.75,0,0,-53.5798,-176.691,-3.75,0,0
-1.90277e-005,3.02906e-005,-3.12838,0,0,-22.1088,-81.3704,-3.71666,0,0,-14.5023,-29.9342,-3.8,0,0,-54.6474,-179.007,-3.8,0,0
-1.28777e-005,2.05002e-005,-3.12741,0,0,-22.4718,-81.8821,-3.75156,0,0,-14.8724,-30.2277,-3.85,0,0,-55.7147,-181.329,-3.85,0,0
-8.7154e-006,1.38742e-005,-3.1257,0,0,-22.837,-82.4069,-3.78626,0,0,-15.2404,-30.5174,-3.9,0,0,-56.779,-183.641,-3.9,0,0
-5.89845e-006,9.38985e-006,-3.12497,0,0,-23.1949,-82.8903,-3.82107,0,0,-15.6038,-30.8004,-3.95,0,0,-57.8316,-185.925,-3.95,0,0
-3.99198e-006,6.3549e-006,-3.12185,0,0,-23.5544,-83.4178,-3.85503,0,0,-15.9644,-31.0909,-4,0,0,-58.8878,-188.26,-4,0,0
-2.70171e-006,4.3009e-006,-3.15685,0,0,-23.9297,-83.9646,-3.93676,0,0,-16.3276,-31.4012,-4.1,0,0,-59.9705,-190.671,-4.1,0,0
-1.82847e-006,2.91078e-006,-3.1523,0,0,-24.293,-85.8699,-3.96983,0,0,-16.6831,-32.1472,-4.15,0,0,-61.0491,-195.353,-4.15,0,0
-1.23748e-006,1.96997e-006,-3.149,0,0,-24.6555,-86.3281,-4.00355,0,0,-17.0362,-32.4431,-4.2,0,0,-62.1047,-197.598,-4.2,0,0
-8.37509e-007,1.33325e-006,-3.14329,0,0,-25.0156,-86.8014,-4.03614,0,0,-17.3876,-32.7421,-4.25,0,0,-63.1625,-199.929,-4.25,0,0
-5.66813e-007,9.0232e-007,-3.13774,0,0,-25.3711,-87.2365,-4.06862,0,0,-17.7364,-33.0397,-4.3,0,0,-64.2178,-202.244,-4.3,0,0
-3.83611e-007,6.10676e-007,-3.1306,0,0,-25.728,-87.6959,-4.10048,0,0,-18.0883,-33.3568,-4.35,0,0,-65.2788,-204.585,-4.35,0,0
0.000137574,0.000459857,-3.12469,0,0,-26.0848,-88.1283,-4.1327,0,0,-18.4483,-33.6893,-4.4,0,0,-66.3301,-206.876,-4.4,0,0
0.00404433,0.0130225,-2.98439,0,0,-27.5884,-92.3956,-4.29159,0,0,-19.0124,-34.6714,-4.7,0,0,-69.6045,-216.61,-4.7,0,0
