现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
11.9899,5.00407,14.6,0,0,12.0125,4.97432,14.6,0,0,12.0253,5.03459,14.6,0,0,0,0,0,0,0
12.1027,5.05061,14.7,0,0,12.1203,4.99675,14.7,0,0,12.1144,4.92658,14.7,0,0,0,0,0,0,0
12.1948,4.97534,14.8,0,0,12.2159,4.95191,14.8,0,0,12.2197,4.98675,14.8,0,0,0,0,0,0,0
12.2996,5.02165,14.9,0,0,12.3175,4.97507,14.9,0,0,12.3185,4.96119,14.9,0,0,0,0,0,0,0
12.3994,5,15,0,0,12.4177,4.96853,15,0,0,12.4181,4.96498,15,0,0,0,0,0,0,0
12.4967,4.99456,15.1,0,0,12.5166,4.96485,15.1,0,0,12.5185,4.96808,15.1,0,0,0,0,0,0,0
12.5993,5.01232,15.2,0,0,12.6164,4.96926,15.2,0,0,12.6163,4.96064,15.2,0,0,0,0,0,0,0
12.696,4.9931,15.3,0,0,12.7163,4.96988,15.3,0,0,12.7182,4.97498,15.3,0,0,0,0,0,0,0
12.8001,5.01744,15.4,0,0,12.8166,4.97098,15.4,0,0,12.8163,4.96208,15.4,0,0,0,0,0,0,0
12.8964,4.99052,15.5,0,0,12.9173,4.97144,15.5,0,0,12.919,4.97705,15.5,0,0,0,0,0,0,0
13.0006,5.0172,15.6,0,0,13.0166,4.96677,15.6,0,0,13.0182,4.96345,15.6,0,0,0,0,0,0,0
13.0967,4.9892,15.7,0,0,13.1165,4.96947,15.7,0,0,13.1169,4.96357,15.7,0,0,0,0,0,0,0
13.1977,5.0086,15.8,0,0,13.2147,4.96549,15.8,0,0,13.2174,4.97018,15.8,0,0,0,0,0,0,0
13.2964,5.00126,15.9,0,0,13.3159,4.97611,15.9,0,0,13.3179,4.96948,15.9,0,0,0,0,0,0,0
13.3985,5.01162,16,0,0,13.4167,4.97308,16,0,0,13.4163,4.96349,16,0,0,0,0,0,0,0
13.4968,4.99839,16.1,0,0,13.5129,4.96015,16.1,0,0,13.5151,4.96719,16.1,0,0,0,0,0,0,0
13.5955,5.00284,16.2,0,0,13.6138,4.97864,16.2,0,0,13.6141,4.96973,16.2,0,0,0,0,0,0,0
13.6956,5.00836,16.3,0,0,13.7125,4.97149,16.3,0,0,13.7144,4.97501,16.3,0,0,0,0,0,0,0
13.7964,5.01017,16.4,0,0,13.8139,4.98093,16.4,0,0,13.814,4.97284,16.4,0,0,0,0,0,0,0
13.8983,5.01123,16.5,0,0,13.9149,4.97696,16.5,0,0,13.9138,4.97374,16.5,0,0,0,0,0,0,0
13.9965,4.99855,16.6,0,0,14.0134,4.96895,16.6,0,0,14.0134,4.97372,16.6,0,0,0,0,0,0,0
14.0959,5.0049,16.7,0,0,14.1112,4.97008,16.7,0,0,14.1109,4.96927,16.7,0,0,0,0,0,0,0
14.1933,5.00077,16.8,0,0,14.2114,4.97996,16.8,0,0,14.2123,4.98383,16.8,0,0,0,0,0,0,0
14.2964,5.02008,16.9,0,0,14.3123,4.98128,16.9,0,0,14.312,4.97665,16.9,0,0,0,0,0,0,0
14.3937,4.99994,17,0,0,14.411,4.97434,17,0,0,14.4109,4.97511,17,0,0,0,0,0,0,0
14.4956,5.01615,17.1,0,0,14.5099,4.97728,17.1,0,0,14.5094,4.97651,17.1,0,0,0,0,0,0,0
14.5926,5.00047,17.2,0,0,14.611,4.98439,17.2,0,0,14.6107,4.98604,17.2,0,0,0,0,0,0,0
14.6949,5.01937,17.3,0,0,14.7097,4.97674,17.3,0,0,14.7086,4.9753,17.3,0,0,0,0,0,0,0
14.7909,4.9994,17.4,0,0,14.8086,4.97959,17.4,0,0,14.8077,4.98202,17.4,0,0,0,0,0,0,0
14.893,5.02177,17.5,0,0,14.9083,4.9837,17.5,0,0,14.9073,4.9847,17.5,0,0,0,0,0,0,0
